student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade,Gender,School_Type,Internet_Access,Grade_Category,Pass_Flag,Subject_Average,Attendance_Rate
8052,19,other,private,high school,3.3,58.9,yes,30-60 min,no,coaching,60.7,61.3,52.7,56.5,d,Other,Private,Yes,D,Pass,58.23333333333333,58.9
8053,16,other,private,phd,6.5,51.7,yes,<15 min,no,coaching,77.6,87.8,78.1,71.3,c,Other,Private,Yes,C,Pass,81.16666666666666,51.7
8054,17,male,public,high school,7.8,69.9,yes,>60 min,yes,coaching,100.0,100.0,86.0,90.5,b,Male,Public,Yes,B,Pass,95.33333333333333,69.9
8055,18,male,private,phd,6.6,91.2,yes,15-30 min,no,textbook,79.7,99.2,82.7,90.2,b,Male,Private,Yes,B,Pass,87.2,91.2
8056,17,other,public,post graduate,3.5,94.6,yes,15-30 min,no,textbook,79.4,57.5,65.1,69.6,d,Other,Public,Yes,D,Pass,67.33333333333333,94.6
8057,17,other,public,no formal,4.1,61.9,yes,<15 min,yes,mixed,80.5,48.9,53.1,57.9,d,Other,Public,Yes,D,Pass,60.833333333333336,61.9
8058,16,other,public,post graduate,1.7,63.7,yes,>60 min,yes,notes,48.7,40.3,44.3,44.7,e,Other,Public,Yes,E,Fail,44.43333333333334,63.7
8059,17,female,private,diploma,5.7,54.9,yes,30-60 min,yes,online videos,65.2,61.7,66.8,64.4,d,Female,Private,Yes,D,Pass,64.56666666666666,54.9
8060,19,female,private,high school,3.9,95.5,yes,>60 min,no,notes,68.2,60.5,48.0,71.7,c,Female,Private,Yes,C,Pass,58.9,95.5
8061,16,female,public,phd,6.9,53.3,yes,>60 min,yes,mixed,84.8,99.8,90.4,85.5,b,Female,Public,Yes,B,Pass,91.66666666666667,53.3
8062,17,female,private,post graduate,5.4,96.9,yes,<15 min,yes,notes,79.2,94.0,77.9,79.5,c,Female,Private,Yes,C,Pass,83.7,96.9
8063,15,other,public,post graduate,1.8,82.1,yes,30-60 min,no,coaching,51.9,31.5,46.9,40.0,f,Other,Public,Yes,F,Fail,43.43333333333334,82.1
8064,16,male,private,high school,3.6,89.3,yes,<15 min,no,coaching,82.2,66.7,71.3,69.4,d,Male,Private,Yes,D,Pass,73.39999999999999,89.3
8065,18,male,private,graduate,5.6,61.0,yes,30-60 min,yes,group study,69.2,65.1,54.0,74.1,c,Male,Private,Yes,C,Pass,62.76666666666667,61.0
8066,17,male,private,diploma,6.9,80.4,yes,<15 min,yes,online videos,100.0,79.5,89.6,87.6,b,Male,Private,Yes,B,Pass,89.7,80.4
8067,15,other,public,graduate,3.1,55.4,yes,<15 min,no,group study,42.9,52.1,36.0,40.9,e,Other,Public,Yes,E,Fail,43.666666666666664,55.4
8068,17,other,private,diploma,5.5,82.9,yes,30-60 min,no,coaching,76.7,65.0,55.3,74.1,c,Other,Private,Yes,C,Pass,65.66666666666667,82.9
8069,18,male,public,graduate,1.8,80.0,yes,<15 min,yes,coaching,62.5,55.1,46.5,52.9,e,Male,Public,Yes,E,Fail,54.699999999999996,80.0
8070,14,male,private,post graduate,7.3,91.2,yes,30-60 min,no,mixed,97.8,71.0,88.0,99.7,a,Male,Private,Yes,A,Pass,85.60000000000001,91.2
8071,14,male,private,high school,4.8,82.2,yes,<15 min,no,textbook,69.5,85.2,74.0,67.9,d,Male,Private,Yes,D,Pass,76.23333333333333,82.2
8072,16,male,private,no formal,6.3,98.6,yes,30-60 min,no,textbook,88.0,85.1,97.9,84.3,c,Male,Private,Yes,C,Pass,90.33333333333333,98.6
8073,17,female,private,no formal,3.5,74.5,no,>60 min,no,mixed,66.7,60.4,54.8,51.8,e,Female,Private,No,E,Fail,60.633333333333326,74.5
8074,15,female,public,phd,7.6,77.6,yes,30-60 min,no,group study,70.8,92.4,96.1,89.4,b,Female,Public,Yes,B,Pass,86.43333333333332,77.6
8075,18,female,public,phd,5.9,53.8,yes,<15 min,yes,mixed,66.0,67.1,54.1,63.9,d,Female,Public,Yes,D,Pass,62.4,53.8
8076,19,male,public,post graduate,1.7,55.4,yes,15-30 min,yes,textbook,25.9,27.6,41.9,35.6,f,Male,Public,Yes,F,Fail,31.8,55.4
8077,17,female,public,no formal,4.6,58.7,yes,<15 min,no,coaching,65.9,42.4,48.3,53.3,e,Female,Public,Yes,E,Fail,52.20000000000001,58.7
8078,16,other,private,graduate,2.5,55.9,yes,15-30 min,yes,group study,30.8,21.9,24.4,42.0,e,Other,Private,Yes,E,Fail,25.7,55.9
8079,14,female,public,diploma,6.8,56.9,no,15-30 min,yes,online videos,89.9,96.8,76.9,78.5,c,Female,Public,No,C,Pass,87.86666666666667,56.9
8080,18,other,private,high school,6.4,63.0,yes,<15 min,yes,online videos,61.7,80.4,69.6,66.9,d,Other,Private,Yes,D,Pass,70.56666666666668,63.0
8081,19,other,private,diploma,4.2,63.9,yes,15-30 min,no,coaching,77.6,69.9,68.4,57.1,d,Other,Private,Yes,D,Pass,71.96666666666667,63.9
8082,16,other,private,post graduate,2.8,84.8,yes,>60 min,yes,notes,53.6,59.7,59.4,63.0,d,Other,Private,Yes,D,Pass,57.56666666666667,84.8
8083,17,female,public,phd,6.9,74.3,yes,30-60 min,yes,mixed,82.8,88.1,69.9,80.7,c,Female,Public,Yes,C,Pass,80.26666666666667,74.3
8084,18,male,public,phd,6.9,96.4,yes,<15 min,no,online videos,100.0,93.2,100.0,100.0,a,Male,Public,Yes,A,Pass,97.73333333333333,96.4
8085,18,female,private,high school,4.3,67.1,yes,<15 min,no,online videos,51.0,64.7,51.7,52.6,e,Female,Private,Yes,E,Fail,55.800000000000004,67.1
8086,14,female,private,graduate,5.9,53.2,no,15-30 min,no,mixed,58.7,70.9,66.0,72.1,c,Female,Private,No,C,Pass,65.2,53.2
8087,18,other,public,graduate,2.6,92.2,yes,<15 min,yes,notes,60.8,52.8,59.1,57.0,d,Other,Public,Yes,D,Pass,57.56666666666666,92.2
8088,19,other,public,high school,3.1,92.1,yes,30-60 min,no,coaching,48.9,57.5,77.0,66.5,d,Other,Public,Yes,D,Pass,61.13333333333333,92.1
8089,18,female,public,diploma,7.6,68.2,yes,15-30 min,yes,notes,91.9,86.9,87.1,88.5,b,Female,Public,Yes,B,Pass,88.63333333333333,68.2
8090,16,female,public,diploma,6.0,53.5,yes,>60 min,yes,mixed,65.1,52.5,91.4,63.1,d,Female,Public,Yes,D,Pass,69.66666666666667,53.5
8091,17,other,public,no formal,1.0,94.0,no,>60 min,no,group study,47.1,36.9,40.4,52.4,e,Other,Public,No,E,Fail,41.46666666666667,94.0
8092,15,other,private,diploma,3.9,96.7,yes,30-60 min,yes,group study,53.0,73.2,79.1,77.7,c,Other,Private,Yes,C,Pass,68.43333333333334,96.7
8093,17,other,public,diploma,3.5,99.9,no,>60 min,no,coaching,51.2,76.1,77.6,72.6,c,Other,Public,No,C,Pass,68.3,99.9
8094,15,female,private,high school,2.2,69.6,yes,30-60 min,no,group study,34.1,39.7,26.4,43.2,e,Female,Private,Yes,E,Fail,33.400000000000006,69.6
8095,16,female,public,graduate,8.0,56.4,no,30-60 min,yes,notes,78.1,71.7,81.3,80.5,c,Female,Public,No,C,Pass,77.03333333333335,56.4
8096,15,female,public,post graduate,1.5,68.9,yes,>60 min,no,notes,36.0,62.5,16.9,31.4,f,Female,Public,Yes,F,Fail,38.46666666666667,68.9
8097,16,female,public,no formal,2.9,79.3,yes,>60 min,yes,mixed,61.6,55.9,53.2,60.2,d,Female,Public,Yes,D,Pass,56.9,79.3
8098,16,male,public,diploma,6.9,52.2,yes,15-30 min,no,textbook,57.4,83.8,63.1,71.0,c,Male,Public,Yes,C,Pass,68.1,52.2
8099,14,male,private,no formal,1.5,63.7,yes,30-60 min,no,mixed,54.8,19.8,31.8,39.8,f,Male,Private,Yes,F,Fail,35.46666666666666,63.7
8100,18,female,private,post graduate,3.3,97.1,yes,>60 min,yes,coaching,83.4,43.8,98.6,71.6,c,Female,Private,Yes,C,Pass,75.26666666666667,97.1
8101,16,female,private,phd,5.3,52.2,yes,<15 min,no,online videos,61.6,77.6,60.4,63.0,d,Female,Private,Yes,D,Pass,66.53333333333333,52.2
8102,19,male,public,diploma,3.0,57.5,yes,>60 min,yes,mixed,58.7,52.5,56.1,49.7,e,Male,Public,Yes,E,Fail,55.76666666666667,57.5
8103,15,male,private,phd,3.6,79.1,no,30-60 min,no,coaching,47.6,65.1,46.0,56.0,d,Male,Private,No,D,Pass,52.9,79.1
8104,18,other,public,graduate,4.6,97.9,yes,<15 min,yes,group study,71.2,80.1,77.7,74.3,c,Other,Public,Yes,C,Pass,76.33333333333333,97.9
8105,15,female,private,phd,7.6,97.0,yes,30-60 min,no,notes,77.9,82.4,84.5,98.2,a,Female,Private,Yes,A,Pass,81.60000000000001,97.0
8106,17,female,private,phd,7.0,62.9,no,30-60 min,no,notes,75.1,85.1,100.0,82.5,c,Female,Private,No,C,Pass,86.73333333333333,62.9
8107,16,other,public,graduate,1.3,80.7,no,30-60 min,no,notes,40.5,55.0,50.2,44.0,e,Other,Public,No,E,Fail,48.56666666666666,80.7
8108,16,male,private,diploma,4.8,98.3,no,>60 min,yes,online videos,84.2,59.0,80.8,76.5,c,Male,Private,No,C,Pass,74.66666666666667,98.3
8109,17,other,public,post graduate,5.4,81.5,no,15-30 min,yes,online videos,74.7,62.2,62.5,66.4,d,Other,Public,No,D,Pass,66.46666666666667,81.5
8110,18,other,public,high school,2.9,61.1,yes,15-30 min,yes,online videos,36.4,54.1,50.4,48.0,e,Other,Public,Yes,E,Fail,46.96666666666667,61.1
8111,15,female,private,high school,2.5,84.7,yes,<15 min,no,notes,43.4,41.9,70.6,52.6,e,Female,Private,Yes,E,Fail,51.96666666666666,84.7
8112,19,female,private,graduate,5.0,75.6,yes,15-30 min,yes,textbook,69.9,83.7,71.6,73.5,c,Female,Private,Yes,C,Pass,75.06666666666668,75.6
8113,15,other,private,high school,3.6,74.7,yes,30-60 min,yes,notes,65.6,43.8,55.3,52.3,e,Other,Private,Yes,E,Fail,54.9,74.7
8114,15,male,private,diploma,7.3,74.4,yes,15-30 min,yes,textbook,100.0,76.6,85.7,98.1,a,Male,Private,Yes,A,Pass,87.43333333333334,74.4
8115,15,male,public,phd,1.7,55.6,yes,<15 min,yes,notes,47.7,48.3,57.1,44.5,e,Male,Public,Yes,E,Fail,51.03333333333333,55.6
8116,19,other,public,post graduate,0.8,89.5,yes,>60 min,no,textbook,51.5,57.7,48.7,47.1,e,Other,Public,Yes,E,Fail,52.63333333333333,89.5
8117,14,male,private,phd,7.2,67.3,no,15-30 min,yes,group study,82.5,95.5,85.8,81.3,c,Male,Private,No,C,Pass,87.93333333333334,67.3
8118,16,other,public,phd,7.2,59.2,yes,30-60 min,yes,mixed,86.5,100.0,72.7,82.5,c,Other,Public,Yes,C,Pass,86.39999999999999,59.2
8119,16,other,private,high school,3.6,72.0,yes,>60 min,no,notes,49.5,42.3,46.5,58.0,d,Other,Private,Yes,D,Pass,46.1,72.0
8120,18,female,public,post graduate,6.2,82.2,yes,15-30 min,yes,coaching,81.6,87.3,83.7,87.4,b,Female,Public,Yes,B,Pass,84.19999999999999,82.2
8121,16,male,public,diploma,6.8,77.7,yes,<15 min,no,textbook,75.7,95.9,90.3,84.2,c,Male,Public,Yes,C,Pass,87.30000000000001,77.7
8122,19,other,public,phd,2.4,91.0,yes,30-60 min,no,online videos,67.1,62.1,59.8,55.4,d,Other,Public,Yes,D,Pass,63.0,91.0
8123,18,other,public,high school,5.4,92.2,yes,<15 min,yes,coaching,100.0,81.9,87.1,85.1,b,Other,Public,Yes,B,Pass,89.66666666666667,92.2
8124,18,female,private,high school,6.0,81.0,yes,30-60 min,no,group study,78.8,95.2,65.8,78.9,c,Female,Private,Yes,C,Pass,79.93333333333334,81.0
8125,18,male,public,phd,3.2,77.6,yes,>60 min,yes,mixed,77.8,68.5,50.0,61.9,d,Male,Public,Yes,D,Pass,65.43333333333334,77.6
8126,14,female,public,high school,7.6,78.3,yes,15-30 min,no,mixed,100.0,100.0,96.3,95.8,a,Female,Public,Yes,A,Pass,98.76666666666667,78.3
8127,16,female,private,graduate,7.8,69.7,yes,15-30 min,yes,mixed,91.2,79.3,66.9,92.2,b,Female,Private,Yes,B,Pass,79.13333333333334,69.7
8128,17,male,private,high school,4.2,73.5,yes,<15 min,yes,notes,40.9,56.7,52.0,60.5,d,Male,Private,Yes,D,Pass,49.86666666666667,73.5
8129,15,female,public,high school,1.1,76.3,yes,15-30 min,no,textbook,67.0,37.3,48.5,44.3,e,Female,Public,Yes,E,Fail,50.93333333333334,76.3
8130,14,male,public,post graduate,7.4,90.0,yes,<15 min,yes,online videos,100.0,97.9,100.0,98.5,a,Male,Public,Yes,A,Pass,99.3,90.0
8131,14,other,private,post graduate,4.4,87.3,yes,30-60 min,yes,group study,75.5,72.8,76.6,76.3,c,Other,Private,Yes,C,Pass,74.96666666666667,87.3
8132,18,female,private,high school,1.5,59.8,yes,15-30 min,no,group study,34.5,46.9,42.6,33.7,f,Female,Private,Yes,F,Fail,41.333333333333336,59.8
8133,17,other,public,phd,6.0,98.9,yes,30-60 min,yes,textbook,97.7,75.9,91.0,82.9,c,Other,Public,Yes,C,Pass,88.2,98.9
8134,15,female,private,no formal,5.7,98.3,yes,30-60 min,no,notes,72.3,73.1,68.5,75.5,c,Female,Private,Yes,C,Pass,71.3,98.3
8135,18,other,private,no formal,1.5,64.0,yes,<15 min,yes,textbook,24.2,46.3,56.1,38.4,f,Other,Private,Yes,F,Fail,42.199999999999996,64.0
8136,18,other,private,phd,2.6,99.9,yes,>60 min,yes,online videos,80.0,53.3,72.2,65.9,d,Other,Private,Yes,D,Pass,68.5,99.9
8137,18,male,private,no formal,7.0,76.3,yes,15-30 min,no,coaching,83.7,88.0,91.6,89.5,b,Male,Private,Yes,B,Pass,87.76666666666665,76.3
8138,19,female,private,high school,7.8,61.3,yes,>60 min,no,group study,86.2,92.6,100.0,90.7,b,Female,Private,Yes,B,Pass,92.93333333333334,61.3
8139,19,other,private,no formal,3.5,86.0,yes,>60 min,yes,coaching,41.7,54.3,68.7,58.7,d,Other,Private,Yes,D,Pass,54.9,86.0
8140,15,female,private,high school,1.5,52.4,yes,15-30 min,no,textbook,56.7,37.4,49.7,42.3,e,Female,Private,Yes,E,Fail,47.93333333333334,52.4
8141,18,male,private,no formal,3.1,84.4,yes,>60 min,yes,group study,58.1,51.9,33.9,49.0,e,Male,Private,Yes,E,Fail,47.96666666666667,84.4
8142,16,other,public,diploma,4.3,91.8,no,30-60 min,yes,group study,45.1,54.2,66.8,63.0,d,Other,Public,No,D,Pass,55.366666666666674,91.8
8143,16,male,private,high school,2.8,67.5,yes,30-60 min,no,group study,64.1,57.1,55.9,54.6,e,Male,Private,Yes,E,Fail,59.03333333333333,67.5
8144,17,other,private,no formal,5.1,66.7,yes,15-30 min,no,mixed,70.1,58.1,62.8,62.8,d,Other,Private,Yes,D,Pass,63.666666666666664,66.7
8145,17,other,public,post graduate,0.6,63.6,yes,<15 min,yes,textbook,36.3,26.1,31.1,23.6,f,Other,Public,Yes,F,Fail,31.166666666666668,63.6
8146,16,male,private,no formal,6.6,70.4,yes,<15 min,no,coaching,72.3,85.0,71.4,78.0,c,Male,Private,Yes,C,Pass,76.23333333333333,70.4
8147,19,male,private,diploma,6.8,78.7,yes,<15 min,no,notes,58.3,80.6,85.7,76.1,c,Male,Private,Yes,C,Pass,74.86666666666666,78.7
8148,15,other,private,high school,6.4,88.1,yes,<15 min,no,notes,82.6,85.3,86.9,88.0,b,Other,Private,Yes,B,Pass,84.93333333333332,88.1
8149,14,female,private,graduate,2.8,94.3,no,30-60 min,yes,mixed,44.1,82.9,66.1,59.0,d,Female,Private,No,D,Pass,64.36666666666666,94.3
8150,14,other,public,diploma,5.2,77.4,yes,>60 min,no,coaching,77.9,72.3,52.0,66.7,d,Other,Public,Yes,D,Pass,67.39999999999999,77.4
8151,18,other,public,diploma,3.2,73.7,yes,<15 min,yes,coaching,36.1,51.4,62.9,60.8,d,Other,Public,Yes,D,Pass,50.13333333333333,73.7
8152,16,male,public,post graduate,3.4,68.7,yes,<15 min,no,mixed,56.5,66.9,39.3,59.3,d,Male,Public,Yes,D,Pass,54.23333333333333,68.7
8153,16,other,private,no formal,5.8,79.8,yes,15-30 min,no,mixed,72.1,78.4,95.2,81.9,c,Other,Private,Yes,C,Pass,81.89999999999999,79.8
8154,17,female,public,diploma,6.8,57.2,yes,<15 min,yes,notes,79.7,91.9,88.4,85.9,b,Female,Public,Yes,B,Pass,86.66666666666667,57.2
8155,16,other,public,graduate,6.7,73.3,yes,>60 min,yes,group study,75.9,82.5,75.7,78.9,c,Other,Public,Yes,C,Pass,78.03333333333335,73.3
8156,17,male,private,post graduate,2.2,75.4,yes,15-30 min,no,online videos,47.9,45.8,48.6,43.7,e,Male,Private,Yes,E,Fail,47.43333333333333,75.4
8157,14,male,private,graduate,5.4,81.5,yes,>60 min,yes,notes,81.2,85.6,80.0,81.0,c,Male,Private,Yes,C,Pass,82.26666666666667,81.5
8158,14,female,public,post graduate,2.5,53.4,yes,15-30 min,no,mixed,34.9,23.1,23.8,35.4,f,Female,Public,Yes,F,Fail,27.266666666666666,53.4
8159,19,female,private,post graduate,5.2,71.5,yes,15-30 min,no,mixed,76.4,72.1,77.1,79.3,c,Female,Private,Yes,C,Pass,75.2,71.5
8160,16,female,public,post graduate,3.3,88.1,no,<15 min,no,notes,69.4,50.3,51.8,56.5,d,Female,Public,No,D,Pass,57.166666666666664,88.1
8161,15,male,private,graduate,6.4,89.2,yes,15-30 min,no,coaching,87.4,75.5,71.7,80.2,c,Male,Private,Yes,C,Pass,78.2,89.2
8162,16,female,private,phd,7.5,77.2,no,15-30 min,no,coaching,82.7,100.0,83.2,89.4,b,Female,Private,No,B,Pass,88.63333333333333,77.2
8163,16,other,public,no formal,2.7,93.6,yes,<15 min,no,notes,35.6,54.7,46.6,49.6,e,Other,Public,Yes,E,Fail,45.63333333333333,93.6
8164,15,other,public,diploma,7.0,87.7,yes,>60 min,no,notes,96.0,97.5,100.0,94.3,b,Other,Public,Yes,B,Pass,97.83333333333333,87.7
8165,15,other,public,post graduate,6.1,89.9,yes,<15 min,yes,mixed,91.2,89.5,100.0,90.0,b,Other,Public,Yes,B,Pass,93.56666666666666,89.9
8166,18,male,private,no formal,4.7,89.6,yes,15-30 min,yes,group study,62.7,93.7,75.6,70.6,c,Male,Private,Yes,C,Pass,77.33333333333333,89.6
8167,14,other,public,post graduate,4.4,86.4,yes,<15 min,no,coaching,58.9,59.9,79.7,66.3,d,Other,Public,Yes,D,Pass,66.16666666666667,86.4
8168,15,female,public,no formal,2.9,92.8,yes,30-60 min,no,textbook,68.0,72.5,79.9,63.9,d,Female,Public,Yes,D,Pass,73.46666666666667,92.8
8169,16,other,public,post graduate,2.0,54.8,no,30-60 min,yes,textbook,60.1,46.9,63.1,38.0,f,Other,Public,No,F,Fail,56.699999999999996,54.8
8170,17,other,private,high school,1.1,75.2,yes,>60 min,yes,notes,51.8,46.4,28.2,38.3,f,Other,Private,Yes,F,Fail,42.13333333333333,75.2
8171,19,male,public,post graduate,5.8,91.3,yes,<15 min,yes,textbook,73.8,78.1,90.0,81.8,c,Male,Public,Yes,C,Pass,80.63333333333333,91.3
8172,19,other,public,post graduate,2.2,55.5,yes,30-60 min,yes,coaching,47.8,36.8,55.0,47.1,e,Other,Public,Yes,E,Fail,46.53333333333333,55.5
8173,15,female,public,post graduate,4.2,57.8,yes,>60 min,yes,group study,51.0,51.4,50.6,47.1,e,Female,Public,Yes,E,Fail,51.0,57.8
8174,17,other,private,graduate,7.2,70.1,yes,30-60 min,yes,coaching,92.5,87.7,81.0,86.7,b,Other,Private,Yes,B,Pass,87.06666666666666,70.1
8175,14,female,public,phd,5.5,78.2,yes,>60 min,no,online videos,92.0,72.8,83.4,75.1,c,Female,Public,Yes,C,Pass,82.73333333333333,78.2
8176,17,male,private,no formal,1.8,86.2,yes,>60 min,no,mixed,41.8,40.3,62.9,44.4,e,Male,Private,Yes,E,Fail,48.333333333333336,86.2
8177,14,other,public,high school,6.0,78.0,yes,<15 min,no,textbook,65.7,83.1,90.6,74.6,c,Other,Public,Yes,C,Pass,79.8,78.0
8178,14,male,public,no formal,2.1,60.8,no,<15 min,no,notes,41.9,38.6,55.3,40.2,e,Male,Public,No,E,Fail,45.26666666666667,60.8
8179,18,other,private,post graduate,6.3,92.4,yes,<15 min,yes,notes,68.9,68.6,79.1,77.7,c,Other,Private,Yes,C,Pass,72.2,92.4
8180,15,male,public,phd,1.1,63.2,no,>60 min,no,group study,33.7,58.7,10.0,33.1,f,Male,Public,No,F,Fail,34.13333333333333,63.2
8181,16,other,private,phd,1.6,92.9,yes,<15 min,no,online videos,51.2,72.1,58.5,57.7,d,Other,Private,Yes,D,Pass,60.6,92.9
8182,14,female,private,graduate,7.5,74.8,yes,<15 min,yes,online videos,100.0,91.2,90.0,95.2,a,Female,Private,Yes,A,Pass,93.73333333333333,74.8
8183,18,male,private,no formal,2.6,52.0,yes,30-60 min,yes,textbook,50.5,55.1,60.2,37.1,f,Male,Private,Yes,F,Fail,55.26666666666667,52.0
8184,18,male,private,high school,1.6,74.0,yes,<15 min,yes,coaching,22.4,19.6,34.9,33.5,f,Male,Private,Yes,F,Fail,25.633333333333336,74.0
8185,17,male,private,graduate,2.1,82.7,yes,30-60 min,no,coaching,37.7,35.8,45.2,47.8,e,Male,Private,Yes,E,Fail,39.56666666666667,82.7
8186,19,other,public,phd,3.2,94.0,yes,15-30 min,yes,online videos,49.3,54.6,60.4,59.4,d,Other,Public,Yes,D,Pass,54.76666666666667,94.0
8187,16,other,public,phd,6.8,79.1,yes,>60 min,yes,textbook,74.6,91.6,83.7,77.8,c,Other,Public,Yes,C,Pass,83.3,79.1
8188,15,other,private,post graduate,1.6,99.6,yes,>60 min,no,notes,57.4,41.7,48.1,48.3,e,Other,Private,Yes,E,Fail,49.06666666666666,99.6
8189,14,female,public,phd,0.6,69.0,yes,30-60 min,yes,coaching,27.0,50.7,42.0,41.9,e,Female,Public,Yes,E,Fail,39.9,69.0
8190,15,female,public,diploma,7.0,62.3,yes,15-30 min,yes,notes,93.4,81.2,100.0,90.4,b,Female,Public,Yes,B,Pass,91.53333333333335,62.3
8191,15,other,public,high school,2.7,72.2,yes,<15 min,yes,mixed,61.5,46.8,28.3,44.8,e,Other,Public,Yes,E,Fail,45.53333333333333,72.2
8192,15,male,public,diploma,1.1,82.9,yes,<15 min,no,online videos,28.0,39.1,44.0,37.0,f,Male,Public,Yes,F,Fail,37.03333333333333,82.9
8193,15,other,private,no formal,0.7,54.7,no,<15 min,yes,online videos,28.4,28.3,30.8,34.8,f,Other,Private,No,F,Fail,29.166666666666668,54.7
8194,17,female,public,post graduate,7.2,54.5,yes,<15 min,no,notes,78.7,90.0,96.5,84.9,c,Female,Public,Yes,C,Pass,88.39999999999999,54.5
8195,14,female,public,high school,4.4,81.2,yes,15-30 min,no,group study,87.6,64.1,72.3,73.0,c,Female,Public,Yes,C,Pass,74.66666666666667,81.2
8196,17,female,public,diploma,5.1,69.2,no,15-30 min,yes,group study,70.7,57.6,62.8,69.5,d,Female,Public,No,D,Pass,63.70000000000001,69.2
8197,16,other,private,no formal,5.1,89.2,yes,<15 min,yes,online videos,84.7,70.7,78.7,76.0,c,Other,Private,Yes,C,Pass,78.03333333333335,89.2
8198,18,other,public,phd,4.4,63.2,yes,>60 min,no,group study,46.3,40.9,46.6,52.3,e,Other,Public,Yes,E,Fail,44.599999999999994,63.2
8199,17,other,private,diploma,6.3,71.7,yes,>60 min,no,coaching,96.4,75.0,100.0,87.5,b,Other,Private,Yes,B,Pass,90.46666666666665,71.7
8200,19,male,public,post graduate,7.3,75.8,no,30-60 min,yes,textbook,95.0,100.0,100.0,96.3,a,Male,Public,No,A,Pass,98.33333333333333,75.8
8201,16,male,public,graduate,5.3,97.1,yes,>60 min,no,coaching,95.5,76.5,68.4,78.5,c,Male,Public,Yes,C,Pass,80.13333333333334,97.1
8202,15,other,public,graduate,6.8,50.4,yes,30-60 min,yes,coaching,77.0,66.8,62.2,68.3,d,Other,Public,Yes,D,Pass,68.66666666666667,50.4
8203,17,other,public,diploma,0.6,60.8,yes,15-30 min,no,mixed,45.0,25.7,27.5,28.4,f,Other,Public,Yes,F,Fail,32.733333333333334,60.8
8204,17,male,public,post graduate,4.1,54.6,yes,<15 min,yes,group study,75.3,59.3,63.0,64.3,d,Male,Public,Yes,D,Pass,65.86666666666666,54.6
8205,16,other,public,high school,5.0,99.6,yes,30-60 min,no,online videos,70.3,53.7,81.4,79.0,c,Other,Public,Yes,C,Pass,68.46666666666667,99.6
8206,17,male,private,phd,2.0,56.6,yes,>60 min,no,online videos,62.5,55.6,31.8,45.9,e,Male,Private,Yes,E,Fail,49.96666666666667,56.6
8207,16,other,public,diploma,1.7,91.2,yes,>60 min,no,online videos,68.1,72.5,70.5,51.6,e,Other,Public,Yes,E,Fail,70.36666666666666,91.2
8208,15,other,private,no formal,1.5,76.0,yes,<15 min,no,coaching,29.0,37.5,37.5,42.4,e,Other,Private,Yes,E,Fail,34.666666666666664,76.0
8209,15,female,private,phd,2.6,89.1,yes,<15 min,yes,notes,60.1,62.0,52.8,60.8,d,Female,Private,Yes,D,Pass,58.29999999999999,89.1
8210,19,male,public,no formal,6.7,65.1,yes,<15 min,yes,mixed,81.0,91.6,78.3,88.7,b,Male,Public,Yes,B,Pass,83.63333333333333,65.1
8211,18,other,private,diploma,0.7,73.8,yes,<15 min,yes,textbook,44.1,35.9,30.3,40.3,e,Other,Private,Yes,E,Fail,36.766666666666666,73.8
8212,14,male,public,post graduate,5.0,98.9,yes,15-30 min,no,group study,90.4,82.8,96.3,88.5,b,Male,Public,Yes,B,Pass,89.83333333333333,98.9
8213,19,female,public,diploma,1.0,54.8,yes,30-60 min,yes,online videos,33.0,31.6,23.3,27.8,f,Female,Public,Yes,F,Fail,29.299999999999997,54.8
8214,18,female,private,high school,4.9,81.0,no,15-30 min,yes,mixed,57.0,50.0,48.8,63.3,d,Female,Private,No,D,Pass,51.93333333333334,81.0
8215,14,male,private,high school,2.4,97.9,no,30-60 min,yes,textbook,36.2,59.6,46.0,50.9,e,Male,Private,No,E,Fail,47.26666666666667,97.9
8216,18,female,private,post graduate,1.7,56.3,yes,>60 min,yes,online videos,18.6,25.4,33.2,30.1,f,Female,Private,Yes,F,Fail,25.733333333333334,56.3
8217,17,other,public,graduate,4.0,92.0,yes,<15 min,yes,mixed,81.3,51.9,81.5,74.0,c,Other,Public,Yes,C,Pass,71.56666666666666,92.0
8218,19,male,private,graduate,2.2,63.8,yes,30-60 min,yes,textbook,30.6,28.1,25.8,38.9,f,Male,Private,Yes,F,Fail,28.166666666666668,63.8
8219,16,female,public,graduate,3.3,60.0,yes,30-60 min,no,notes,29.7,41.5,20.7,44.8,e,Female,Public,Yes,E,Fail,30.633333333333336,60.0
8220,17,male,public,high school,5.2,58.3,yes,15-30 min,yes,online videos,64.1,81.5,61.2,72.8,c,Male,Public,Yes,C,Pass,68.93333333333334,58.3
8221,15,female,public,phd,7.5,86.8,yes,30-60 min,no,mixed,100.0,100.0,100.0,100.0,a,Female,Public,Yes,A,Pass,100.0,86.8
8222,15,male,public,high school,5.1,51.8,yes,30-60 min,no,coaching,43.3,60.5,29.3,52.4,e,Male,Public,Yes,E,Fail,44.36666666666667,51.8
8223,17,male,public,phd,4.3,71.0,yes,15-30 min,yes,textbook,70.4,70.0,54.3,65.7,d,Male,Public,Yes,D,Pass,64.89999999999999,71.0
